Time, MagX, MagY, MagZ, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, Temp, Pres, Yaw, Pitch, Roll
2021-10-30 20:34:56.379262,-90.0,6.0,178.375,557,-98,16506,-10,5,-2,39.18,1013.32,179.86121501675436,9.576391119592149,0.23206689104588074
2021-10-30 20:34:56.665955,-91.5,9.125,179.375,532,-85,16598,0,-3,0,39.13,1013.32,179.77891732946992,14.231997277449064,0.6057437853387778
2021-10-30 20:34:56.952586,-92.375,8197.75,181.875,502,-92,16614,6,-3,1,39.14,1013.32,167.52271887373215,11.471301075131237,1.1609285410403059
2021-10-30 20:34:57.239404,-93.0,8197.375,178.625,609,-133,16524,0,0,0,39.16,1013.3,155.63144505075917,9.231513389973136,1.4477849182173637
2021-10-30 20:34:57.525939,-91.5,24579.25,177.0,555,-85,16573,-4,-7,-1,39.18,1013.31,144.5916993363363,7.249347078435656,1.4672805427016202
2021-10-30 20:34:57.812981,-91.125,8198.625,180.625,523,-58,16577,7,0,0,39.19,1013.3,134.7243483491871,5.822025753229605,1.4674939077238036
2021-10-30 20:34:58.099537,-92.125,16389.5,178.25,506,-92,16573,2,1,0,39.2,1013.26,126.20270740971362,4.503655536295888,1.3038565883189688
2021-10-30 20:34:58.386749,-96.25,8.125,181.625,610,-125,16564,-3,0,-3,39.18,1013.3,124.2341879995286,10.178902245766947,-2.5801529299555797
2021-10-30 20:34:58.673412,-90.75,8196.5,180.375,600,-87,16535,-1,1,-1,39.18,1013.29,117.39014624708796,7.458256106292899,-2.008738161945052
2021-10-30 20:34:58.959916,-91.75,16385.75,179.375,575,-39,16611,-3,0,0,39.18,1013.3,111.77710174942193,5.319737339622212,-1.5604790984709875
2021-10-30 20:34:59.246465,-89.125,8199.125,178.75,551,-102,16602,4,6,1,39.19,1013.3,107.15943286990387,3.7626481556857727,-1.2493590817905873
2021-10-30 20:34:59.533605,-95.375,7.625,182.125,579,-66,16587,-8,-4,0,39.2,1013.3,104.88662109795942,8.386276878572781,-4.871700773258463
2021-10-30 20:34:59.820035,-90.75,6.875,178.75,490,-82,16720,-2,2,-1,39.2,1013.3,103.25710626506645,10.941054728014812,-6.443393625926173
2021-10-30 20:35:00.106896,-94.25,24581.5,182.0,562,-62,16633,1,-4,0,39.21,1013.3,100.46692647533105,7.901709580872187,-5.064162466551212
2021-10-30 20:35:00.394039,-92.0,16390.25,176.5,548,-73,16587,0,-3,-2,39.2,1013.26,98.19936980513299,5.626392822435687,-4.005046669328605
2021-10-30 20:35:00.680539,-90.5,6.5,182.5,556,-58,16575,1,-3,-1,39.2,1013.28,96.31932388891936,8.661922007847576,-6.319906507839
2021-10-30 20:35:00.967018,-94.25,8200.5,177.375,553,-89,16589,-2,-4,0,39.19,1013.3,94.87514516030564,6.261518848311536,-4.999928779020478
2021-10-30 20:35:01.254397,-92.0,6.0,175.5,540,-89,16569,-1,-2,0,39.18,1013.28,92.88579448930118,9.045389711028244,-7.146725273145714
2021-10-30 20:35:01.540978,-96.75,7.75,178.125,557,-64,16586,-2,0,1,39.17,1013.31,91.17769102763447,10.767878924923904,-8.202681736554007
2021-10-30 20:35:01.828027,-91.0,8196.25,180.875,553,-81,16568,0,-3,-1,39.18,1013.3,90.84517970582593,7.986950034215549,-6.458680201974498
2021-10-30 20:35:02.115292,-92.125,10.0,179.75,562,-78,16592,1,1,2,39.19,1013.28,89.20890826310257,9.720000191914634,-7.601712412398158
2021-10-30 20:35:02.401827,-91.625,7.875,179.625,561,-56,16601,1,-2,-1,39.21,1013.29,87.8750383724933,10.66697231527347,-8.135618743600146
2021-10-30 20:35:02.688921,-94.0,7.125,180.25,553,-67,16616,-1,-2,-3,39.21,1013.27,86.62630639196442,11.261175865068955,-8.470583161905752
2021-10-30 20:35:02.976129,-94.625,8.125,176.625,554,-61,16610,-3,-4,-1,39.22,1013.29,85.39694067286344,11.648041358103677,-8.673469344138349
2021-10-30 20:35:03.262591,-97.375,8198.125,180.375,558,-80,16572,3,-3,0,39.23,1013.28,86.29225445490876,8.807276623260126,-6.8330888227588815
2021-10-30 20:35:03.549189,-92.125,5.125,178.625,570,-79,16561,0,-2,0,39.23,1013.29,84.81061502238691,9.93576141749008,-7.910725087644191
2021-10-30 20:35:03.835738,-93.75,9.375,177.75,562,-98,16580,3,-1,0,39.24,1013.3,83.45067191226701,10.616972556513089,-8.405314502853459
2021-10-30 20:35:04.123146,-96.25,8196.875,176.375,568,-78,16596,-2,-1,-2,39.24,1013.27,84.75340841656636,8.033611902213412,-6.6431531240109765
2021-10-30 20:35:04.409604,-93.5,16388.0,178.25,549,-96,16589,0,-1,0,39.24,1013.27,85.82550551544195,5.978478682596467,-5.2770994920042975
2021-10-30 20:35:04.696519,-92.5,8.5,180.5,549,-111,16572,-6,3,-1,39.24,1013.28,83.96408197658913,8.093226957262713,-7.205193291015032
2021-10-30 20:35:04.983794,-90.875,5.125,177.0,574,-58,16576,8,-6,-2,39.23,1013.31,82.4448057693054,9.29177466384781,-8.213223651825544
2021-10-30 20:35:05.270226,-93.25,6.875,181.0,621,-64,16600,0,5,-1,39.22,1013.28,81.12914197665721,9.931559911916668,-8.66446840817217
2021-10-30 20:35:05.557074,-93.0,8197.625,179.75,610,-22,16635,-6,-6,-2,39.22,1013.33,82.93621331738446,7.518183420950848,-6.823510043297936
2021-10-30 20:35:05.843553,-95.875,7.625,178.5,469,-88,16561,13,-10,-1,39.23,1013.3,81.17804309379054,9.062588046657181,-8.142647598017144
2021-10-30 20:35:06.130434,-92.0,8199.375,175.5,471,-116,16591,-24,-12,-3,39.2,1013.3,82.96308607762617,6.914093571985569,-6.512637424390994
2021-10-30 20:35:06.417586,-91.375,8196.5,179.75,596,-153,16594,-25,-2,-5,39.19,1013.25,84.35960408246054,5.07778318055581,-5.262480250721362
2021-10-30 20:35:06.704138,-92.875,7.0,177.5,699,89,16585,155,1,49,39.18,1013.3,82.41560288246912,7.3698795075016275,-7.069779377643159
2021-10-30 20:35:06.990613,-88.875,10.5,181.5,508,-7,16687,88,1,17,39.15,1013.28,81.01445173179158,8.596364206845147,-7.696997843911401
2021-10-30 20:35:07.277004,-90.875,8197.875,178.0,444,6,16582,-112,20,0,39.12,1013.29,82.85030331836057,6.609341286958116,-6.202351361560138
2021-10-30 20:35:07.563502,-88.625,8198.375,181.625,575,137,16638,1,5,-2,39.08,1013.29,84.30347197143197,4.861788729112044,-4.761609311252849
2021-10-30 20:35:07.849960,-86.875,8200.0,178.0,586,109,16596,40,5,6,39.08,1013.27,85.44724679603826,3.435527940719726,-3.592393796996179
2021-10-30 20:35:08.137023,-86.0,9.375,178.125,600,144,16634,-14,-20,0,39.1,1013.3,83.50069484915242,6.169177153382589,-6.046469595333911
2021-10-30 20:35:08.423518,-86.5,8198.125,177.0,303,66,16506,-58,63,12,39.15,1013.3,84.81932916166113,4.790709211807536,-4.773059500397858
2021-10-30 20:35:08.710005,-88.625,8198.125,174.0,671,-108,16497,23,-77,3,39.16,1013.31,85.84063325080038,3.1883646469560554,-3.791153813240923
2021-10-30 20:35:08.996892,-89.25,8199.625,178.375,273,24,16664,2,-3,-1,39.17,1013.28,86.6250704363335,2.317200220603136,-2.9486628221930573
2021-10-30 20:35:09.283345,-92.625,8.25,178.875,674,73,16584,70,47,13,39.18,1013.3,84.28687046288925,5.7928498686622065,-6.039498634628614
2021-10-30 20:35:09.569672,-93.0,7.375,175.75,461,17,16610,-29,-3,-8,39.16,1013.32,82.31751582481479,8.018278757765055,-7.82856964898513
2021-10-30 20:35:09.856448,-93.25,16386.0,178.375,447,73,16554,-4,-5,0,39.16,1013.29,83.92389291053611,6.110554676761132,-6.089988898142499
2021-10-30 20:35:10.142877,-92.5,8199.5,178.5,499,12,16588,5,5,0,39.16,1013.3,85.12854205674302,4.506279474856629,-4.7577475601663215
2021-10-30 20:35:10.430028,-95.0,-32765.75,181.375,475,-6,16585,-55,-28,-28,39.16,1013.33,84.03764907130599,3.0246733699261017,-5.977149204380827
2021-10-30 20:35:10.716514,-93.625,16388.125,178.75,471,-68,16581,-7,-13,-9,39.16,1013.27,85.24928868135507,2.094856989369993,-4.74616824310098
2021-10-30 20:35:11.003301,-88.0,16385.0,177.75,457,-63,16547,-29,-11,4,39.19,1013.31,86.2237550986228,1.3423731148486988,-3.8079385262363363
2021-10-30 20:35:11.290371,-92.25,16386.0,178.25,440,-114,16590,18,0,0,39.2,1013.31,86.97592523467648,0.7578096069457891,-3.0411496225072705
2021-10-30 20:35:11.576892,-93.75,7.125,180.375,475,-56,16615,11,2,2,39.19,1013.3,84.4352269678811,4.880940593291399,-6.569420181453581
2021-10-30 20:35:11.863346,-91.75,16387.875,178.875,431,-78,16638,2,0,-1,39.19,1013.27,85.57137893251932,3.601784559191006,-5.203722298044598
2021-10-30 20:35:12.150266,-92.75,8197.25,178.875,489,-32,16554,8,-9,0,39.19,1013.35,86.40835510087894,2.4890198309091547,-4.089135682473095
2021-10-30 20:35:12.436629,-88.0,24574.625,177.875,403,-28,16609,19,11,4,39.19,1013.3,87.15154033734659,1.7047153207344499,-3.1954991205045657
2021-10-30 20:35:12.723718,-90.75,8197.25,174.125,594,-114,16566,-29,-73,0,39.21,1013.31,87.64581208723845,0.7964681297536151,-2.632101879460243
2021-10-30 20:35:13.010087,-87.25,6.125,176.5,986,179,16555,336,-87,-68,39.2,1013.31,85.21091344781084,4.316775154148794,-5.529333451994064
2021-10-30 20:35:13.297277,-80.625,16388.625,174.25,523,98,16677,-100,-106,31,39.19,1013.31,86.26289190232647,2.913762768717892,-4.404488344838587
2021-10-30 20:35:13.584499,-83.75,11.625,178.0,1183,258,16457,67,133,61,39.19,1013.3,84.41250560170653,5.594742545716286,-6.265734018097791
2021-10-30 20:35:13.870905,-87.625,-16385.5,179.625,1082,-101,16943,30,210,-34,39.2,1013.29,83.10912746806957,3.731943472222039,-7.868512688962588
2021-10-30 20:35:14.157583,-91.375,16386.625,174.375,-567,724,16299,19,58,63,39.16,1013.31,84.66563642789475,3.604025764681622,-5.56698146749998
2021-10-30 20:35:14.443185,-89.5,-24576.875,175.0,-181,39,16786,-24,-15,-72,39.16,1013.32,83.39623677734147,2.790782235703165,-6.921827431680768
2021-10-30 20:35:14.729283,-93.25,-24578.625,174.5,408,-24,15051,-345,-694,45,39.15,1013.32,82.2101743465428,0.6467270751922335,-9.0305655248299
2021-10-30 20:35:15.015655,-91.875,-16385.625,173.875,725,-90,18520,37,-455,-123,39.13,1013.33,80.498310885947,-0.9610895218964676,-11.117265678422212
2021-10-30 20:35:15.302313,-94.0,16384.5,175.625,765,-50,16574,103,297,36,39.04,1013.28,82.43330290145552,-0.560529382931986,-8.588306833270455
2021-10-30 20:35:15.588181,-95.125,-16385.875,174.625,846,70,16883,15,25,-8,39.04,1013.3,80.79083415566161,-1.293807983915077,-10.528657935133927
2021-10-30 20:35:15.873943,-92.625,24576.75,172.875,756,-55,16665,-36,-125,-16,39.02,1013.25,82.71787829479462,-1.4484464319794166,-8.345447263382528
2021-10-30 20:35:16.159926,-92.625,-32766.0,178.125,758,-21,16490,-13,-5,-5,39.0,1013.28,81.17121959617457,-1.9587759467448376,-10.228922158896466
2021-10-30 20:35:16.445846,-94.5,-32766.125,181.5,784,30,16616,-29,-58,-5,39.05,1013.28,79.34595599082724,-2.5598072619539582,-12.444822686239116
2021-10-30 20:35:16.732491,-88.875,-16382.0,176.25,997,-40,16637,-35,-77,-7,39.1,1013.31,77.18926138092398,-3.369244808818825,-15.204920570551502
2021-10-30 20:35:17.018263,-94.625,-24579.0,176.125,837,18,16514,-2,6,0,39.12,1013.3,74.6594686809023,-3.9713454560993817,-18.218109077254624
2021-10-30 20:35:17.304178,-90.625,-24575.875,173.625,935,1,16645,-37,-65,-2,39.13,1013.3,71.78783804818057,-4.87510151775806,-21.66776885658768
2021-10-30 20:35:17.590438,-94.25,24575.375,175.75,864,13,16532,-3,8,-1,39.15,1013.3,75.2862556866836,-3.1593164669715423,-17.091563296172904
2021-10-30 20:35:17.876278,-94.375,-24576.5,174.625,858,-19,16615,-3,-5,-2,39.15,1013.3,72.46388556504519,-4.023699362498096,-20.368370770259503
2021-10-30 20:35:18.161987,-97.875,-32766.75,177.0,1051,-27,16632,-5,-49,-4,39.16,1013.27,69.28271116179153,-5.215268374224789,-23.964772732561222
2021-10-30 20:35:18.448316,-94.75,-16385.0,175.625,964,7,16576,31,107,11,39.16,1013.3,65.63155234415552,-6.229612168249991,-27.807440684249972
2021-10-30 20:35:18.734397,-95.875,16386.0,177.25,613,142,16564,29,73,3,39.18,1013.36,69.85347057605358,-3.125997430275486,-21.991022138484446
2021-10-30 20:35:19.020227,-96.125,16383.875,178.875,421,235,16563,3,2,-6,39.18,1013.34,73.68470575653868,-1.3695967500629482,-17.217427634968423
2021-10-30 20:35:19.306765,-95.375,32766.625,178.375,459,162,16583,0,-12,-8,39.19,1013.32,76.96597873979346,-0.525781079345059,-13.434903565391945
2021-10-30 20:35:19.593117,-90.5,24575.625,178.875,558,127,16631,11,-24,1,39.19,1013.37,79.66659405382612,-0.30197798641324514,-10.436255099646141
2021-10-30 20:35:19.880372,-95.5,-16384.75,175.125,619,105,16676,-8,-8,4,39.19,1013.33,77.51448805848118,-1.1432166659543093,-12.70157647678749
2021-10-30 20:35:20.166746,-98.875,-24577.0,179.875,560,93,16528,-21,30,-2,39.19,1013.34,74.97465095592143,-1.8876693339967399,-15.29045538619443
2021-10-30 20:35:20.454467,-96.0,-24576.5,181.625,470,140,16607,-12,-40,-1,39.2,1013.29,72.04244463890896,-2.741687260201671,-18.205752165775905
